Municipality_ID,Location_Name_En,Location_Name_Arabic ,Latitude,Longitude,Governorate,Governorate_Ar,UN_AreaOfOperation,UN_AreaOfOperation_Ar,District,District_Ar,Google_Map_link
M484,Qaaqaaii es Snoubar,قعقعية الصنوبر,33.43164,35.34390,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.43164,35.3439"
M697,Qabrikha,قبريخا,33.24737,35.46311,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.24737,35.46311"
M662,Qalaouiye,قلويه,33.25519,35.41665,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.25519,35.41665"
M534,Qana,قانا,33.20829,35.29933,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.20829,35.29933"
M701,Qantara,قنطرة,33.27356,35.46275,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.27356,35.46275"
M668,Qaouzah,قوزح,33.12107,35.33693,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.12107,35.33693"
M501,Qaitoule,قيتولي,33.53736,35.54961,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.53736,35.54961"
M476,Qennarit,قناريت,33.50281,35.38036,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.50281,35.38036"
M695,Qlaiaa,قليعة,33.32719,35.56457,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.32719,35.56457"
M545,El Kleile,قليلة,33.19794,35.22823,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.19794,35.22823"
M475,Qraiye Saida,قرية صيدا,33.53858,35.41627,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.53858,35.41627"
M610,Qsaibe El Nabatieh,قصيبة النبطية,33.33156,35.39672,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.33156,35.39672"
M700,Rabb et Talatine,رب التلاتين,33.24876,35.51728,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.24876,35.51728"
M657,Rachaf,رشاف,33.14296,35.36161,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.14296,35.36161"
M675,Rachaiya el Foukhar,راشيّا الفخار,33.35402,35.66650,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.35402,35.6665"
M658,Ramiye,رامية بنت جبيل,33.11044,35.30931,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.11044,35.30931"
